crop,category,N,P,K,temperature,humidity,ph,rainfall,soil_type,season,water_avail,state
sapota,horticulture,37.0,34.0,59.0,24.7,55.9,7.84,125.2,alluvial,kharif,rainfed,Gujarat
pineapple,horticulture,62.0,29.0,60.0,31.8,74.7,6.18,218.7,loamy,kharif,rainfed,Karnataka
muskmelon,horticulture,42.0,41.0,43.0,38.1,80.4,7.13,60.4,loamy,zaid,rainfed,Rajasthan
pineapple,horticulture,55.0,27.0,45.0,28.9,77.8,6.48,104.1,laterite,kharif,rainfed,Kerala
horsegram,pulse,11.0,20.0,24.0,31.5,41.8,5.86,73.7,red,kharif,irrigated,Tamil Nadu
rice,cereal,86.0,62.0,38.0,32.1,78.0,6.22,225.8,alluvial,kharif,rainfed,West Bengal
coconut,plantation,27.0,13.0,79.0,26.1,73.7,7.19,250.3,laterite,kharif,rainfed,Kerala
rubber,plantation,24.0,28.0,38.0,36.4,96.1,5.0,351.6,loamy,kharif,irrigated,Tamil Nadu
cabbage,vegetable,120.0,70.0,65.0,15.5,79.1,6.05,132.4,clay,rabi,rainfed,Bihar
coffee,plantation,70.0,27.0,41.0,27.0,78.9,7.1,159.7,loamy,kharif,irrigated,Karnataka
turmeric,spice,67.0,49.0,69.0,26.4,79.6,6.17,187.1,red,kharif,rainfed,Andhra Pradesh
coconut,plantation,38.0,24.0,86.0,34.7,80.0,7.71,252.2,alluvial,kharif,rainfed,Tamil Nadu
orange,horticulture,38.0,16.0,19.0,21.0,64.6,6.36,155.4,loamy,rabi,rainfed,Meghalaya
cardamom,spice,39.0,30.0,57.0,14.6,73.8,5.38,201.7,laterite,kharif,rainfed,Tamil Nadu
tea,plantation,25.0,17.0,11.0,12.5,82.3,5.95,163.9,loamy,kharif,rainfed,Tamil Nadu
onion,vegetable,45.0,29.0,69.0,24.5,55.7,6.07,95.1,black,rabi,rainfed,Madhya Pradesh
mango,horticulture,21.0,36.0,58.0,28.6,67.9,5.96,199.8,loamy,kharif,irrigated,Uttar Pradesh
ragi,millet,69.0,42.0,29.0,22.4,79.3,6.28,128.3,red,kharif,rainfed,Odisha
bajra,millet,52.0,33.0,30.0,23.6,46.7,7.29,41.2,loamy,kharif,irrigated,Rajasthan
cocoa,plantation,23.0,36.0,57.0,31.5,78.1,6.06,178.7,laterite,kharif,irrigated,Andhra Pradesh
pepper,spice,57.0,32.0,101.0,24.8,76.2,6.67,267.9,laterite,kharif,irrigated,Karnataka
wheat,cereal,147.0,81.0,51.0,17.4,74.5,6.09,75.7,black,rabi,irrigated,Rajasthan
cabbage,vegetable,97.0,70.0,69.0,13.7,73.7,6.69,111.2,loamy,rabi,rainfed,Maharashtra
brinjal,vegetable,38.0,59.0,42.0,25.6,81.2,6.66,77.3,alluvial,rabi,rainfed,Bihar
mustard,oilseed,105.0,54.0,35.0,10.4,58.9,6.27,37.2,loamy,rabi,irrigated,Rajasthan
groundnut,cash,16.0,62.0,43.0,32.2,78.4,6.76,108.7,sandy,kharif,rainfed,Rajasthan
cabbage,vegetable,120.0,66.0,64.0,14.7,63.4,7.2,120.2,clay,rabi,rainfed,Maharashtra
ginger,spice,48.0,39.0,66.0,31.2,69.7,6.29,150.4,loamy,kharif,rainfed,Karnataka
grapes,horticulture,26.0,33.0,41.0,27.0,71.9,7.72,90.5,loamy,rabi,irrigated,Karnataka
jasmine,flower,59.0,31.0,60.0,18.8,62.7,7.25,145.7,alluvial,kharif,rainfed,Maharashtra
jute,cash,88.0,42.0,52.0,31.3,83.7,6.95,153.6,loamy,kharif,rainfed,Odisha
cabbage,vegetable,92.0,67.0,84.0,9.7,71.0,7.38,87.1,clay,rabi,rainfed,Odisha
sesame,oilseed,19.0,33.0,35.0,36.8,64.8,5.68,74.8,loamy,kharif,rainfed,Rajasthan
cardamom,spice,30.0,35.0,37.0,25.6,95.2,6.87,383.1,red,kharif,irrigated,Tamil Nadu
cabbage,vegetable,77.0,73.0,75.0,17.0,75.5,6.89,122.5,clay,rabi,rainfed,Maharashtra
sunflower,oilseed,60.0,70.0,73.0,21.2,59.3,7.3,70.2,black,kharif,irrigated,Andhra Pradesh
tapioca,horticulture,64.0,45.0,121.0,26.8,75.9,7.5,166.4,laterite,kharif,rainfed,Tamil Nadu
mustard,oilseed,107.0,49.0,42.0,11.5,68.5,7.76,58.6,sandy,rabi,rainfed,Uttar Pradesh
greengram,pulse,15.0,44.0,19.0,29.4,55.9,7.2,104.6,loamy,kharif,irrigated,Andhra Pradesh
papaya,horticulture,80.0,45.0,73.0,31.8,82.1,7.01,123.8,loamy,kharif,rainfed,Gujarat
ginger,spice,49.0,58.0,75.0,25.1,74.9,6.02,108.6,alluvial,kharif,rainfed,Meghalaya
barley,cereal,74.0,42.0,52.0,12.1,66.2,6.99,61.0,loamy,rabi,irrigated,Himachal Pradesh
ragi,millet,49.0,47.0,59.0,29.9,70.5,5.99,89.2,loamy,kharif,rainfed,Tamil Nadu
watermelon,horticulture,66.0,51.0,59.0,36.6,65.2,7.33,78.7,loamy,kharif,rainfed,Andhra Pradesh
tea,plantation,40.0,25.0,22.0,13.4,80.0,5.7,201.6,laterite,kharif,irrigated,Assam
maize,cereal,85.0,52.0,65.0,21.7,73.1,6.31,121.8,loamy,rabi,rainfed,Rajasthan
coffee,plantation,64.0,20.0,53.0,24.2,61.9,7.5,120.5,red,kharif,irrigated,Kerala
jasmine,flower,42.0,30.0,64.0,32.5,73.8,6.21,75.9,alluvial,kharif,rainfed,Andhra Pradesh
guava,horticulture,42.0,24.0,42.0,24.0,74.9,6.28,152.0,alluvial,kharif,rainfed,Bihar
turmeric,spice,60.0,70.0,103.0,22.0,87.3,5.03,117.3,alluvial,kharif,rainfed,Odisha
pomegranate,horticulture,39.0,29.0,37.0,34.8,43.6,8.18,76.9,loamy,kharif,rainfed,Rajasthan
coconut,plantation,42.0,17.0,84.0,21.6,87.3,7.86,267.4,sandy,kharif,rainfed,West Bengal
banana,horticulture,97.0,80.0,93.0,39.6,65.4,6.95,184.8,loamy,kharif,rainfed,Tamil Nadu
lentil,pulse,28.0,41.0,32.0,18.7,59.6,6.13,35.6,black,rabi,rainfed,Bihar
groundnut,cash,16.0,83.0,72.0,34.0,65.8,6.77,123.3,loamy,rabi,irrigated,Gujarat
okra,vegetable,47.0,38.0,42.0,38.8,72.6,6.23,76.7,loamy,kharif,rainfed,West Bengal
chickpea,pulse,36.0,42.0,53.0,19.9,52.2,6.17,69.4,black,rabi,irrigated,Rajasthan
coconut,plantation,31.0,21.0,68.0,34.3,80.7,6.36,110.6,laterite,kharif,rainfed,Kerala
papaya,horticulture,66.0,38.0,50.0,27.4,75.4,7.1,126.1,loamy,kharif,rainfed,Gujarat
onion,vegetable,63.0,41.0,40.0,17.0,62.1,6.48,104.8,alluvial,kharif,irrigated,Madhya Pradesh
pepper,spice,53.0,42.0,82.0,27.0,99.9,6.95,232.3,laterite,kharif,rainfed,Andhra Pradesh
cowpea,pulse,26.0,46.0,27.0,34.9,81.8,7.07,76.7,sandy,zaid,irrigated,Maharashtra
barley,cereal,85.0,57.0,31.0,14.2,61.3,6.71,73.1,sandy,rabi,rainfed,Rajasthan
sapota,horticulture,19.0,22.0,28.0,35.3,79.9,7.61,203.9,laterite,kharif,irrigated,Tamil Nadu
chilli,spice,84.0,65.0,61.0,25.7,63.7,6.58,116.7,alluvial,kharif,rainfed,Maharashtra
tomato,vegetable,77.0,70.0,80.0,25.9,69.9,6.26,75.6,loamy,rabi,rainfed,Odisha
jute,cash,68.0,41.0,53.0,33.2,93.4,6.49,215.7,alluvial,kharif,rainfed,Meghalaya
rubber,plantation,32.0,12.0,30.0,35.6,100.3,5.18,295.9,loamy,kharif,irrigated,Assam
mango,horticulture,26.0,37.0,69.0,28.5,67.2,5.74,112.5,loamy,kharif,irrigated,Tamil Nadu
sapota,horticulture,35.0,14.0,46.0,25.0,65.0,7.23,168.7,loamy,kharif,irrigated,Andhra Pradesh
apple,horticulture,24.0,41.0,30.0,15.7,62.3,6.42,137.5,loamy,rabi,rainfed,Jammu & Kashmir
soybean,oilseed,45.0,66.0,54.0,31.3,74.6,7.06,71.9,loamy,kharif,rainfed,Karnataka
chickpea,pulse,36.0,44.0,34.0,26.3,51.9,7.63,46.0,black,rabi,irrigated,Madhya Pradesh
marigold,flower,40.0,75.0,54.0,15.5,50.8,6.43,68.2,loamy,kharif,rainfed,Maharashtra
cardamom,spice,37.0,17.0,51.0,13.8,88.0,5.02,246.5,laterite,kharif,rainfed,Sikkim
ragi,millet,54.0,48.0,28.0,31.9,64.0,5.69,87.8,laterite,kharif,irrigated,Tamil Nadu
wheat,cereal,159.0,76.0,38.0,25.4,62.9,6.28,83.5,black,rabi,rainfed,Madhya Pradesh
cocoa,plantation,40.0,36.0,31.0,31.7,75.8,7.38,189.1,laterite,kharif,rainfed,Tamil Nadu
sapota,horticulture,34.0,28.0,44.0,24.5,63.1,6.14,93.5,loamy,kharif,irrigated,Andhra Pradesh
horsegram,pulse,27.0,28.0,27.0,30.4,64.4,5.76,84.3,loamy,kharif,rainfed,Andhra Pradesh
cotton,cash,67.0,53.0,50.0,31.9,61.1,7.92,123.0,loamy,kharif,rainfed,Maharashtra
cotton,cash,59.0,61.0,55.0,19.5,64.0,7.07,106.1,loamy,kharif,irrigated,Haryana
banana,horticulture,95.0,57.0,85.0,23.0,68.4,6.07,210.1,red,kharif,rainfed,Karnataka
jute,cash,89.0,50.0,64.0,31.0,96.2,7.07,161.1,alluvial,kharif,irrigated,Odisha
tobacco,cash,33.0,36.0,38.0,26.3,59.1,5.92,62.2,sandy,rabi,rainfed,Telangana
sunflower,oilseed,73.0,69.0,58.0,31.9,78.7,7.62,95.0,alluvial,rabi,irrigated,Bihar
jasmine,flower,32.0,48.0,33.0,36.6,60.8,7.2,114.5,sandy,kharif,rainfed,Karnataka
bajra,millet,53.0,36.0,36.0,26.6,51.0,8.18,39.8,red,kharif,rainfed,Gujarat
coconut,plantation,40.0,26.0,59.0,27.4,70.9,6.99,208.7,loamy,kharif,rainfed,West Bengal
lentil,pulse,24.0,59.0,27.0,26.0,54.6,6.75,54.1,alluvial,rabi,rainfed,Bihar
rose,flower,55.0,39.0,52.0,24.5,61.7,5.57,161.5,alluvial,rabi,rainfed,Maharashtra
grapes,horticulture,26.0,36.0,61.0,19.8,78.2,6.7,94.5,red,rabi,rainfed,Maharashtra
sugarcane,cash,94.0,80.0,91.0,24.5,91.4,6.59,198.5,black,kharif,rainfed,Uttar Pradesh
watermelon,horticulture,39.0,52.0,48.0,40.5,58.4,7.09,50.7,red,zaid,irrigated,Maharashtra
rubber,plantation,23.0,13.0,25.0,35.3,101.2,4.98,268.1,laterite,kharif,rainfed,Kerala
banana,horticulture,75.0,59.0,120.0,23.7,88.7,5.69,210.7,alluvial,kharif,rainfed,Gujarat
pigeonpeas,pulse,43.0,39.0,30.0,36.4,53.9,6.76,97.9,alluvial,kharif,irrigated,Uttar Pradesh
ragi,millet,64.0,39.0,35.0,32.0,70.8,6.72,101.8,laterite,kharif,irrigated,Karnataka
potato,vegetable,96.0,62.0,113.0,10.9,91.5,5.54,80.4,alluvial,rabi,irrigated,Uttar Pradesh
kidneybeans,pulse,32.0,75.0,47.0,30.1,77.5,6.66,120.0,loamy,kharif,rainfed,Jammu & Kashmir
mustard,oilseed,95.0,49.0,46.0,19.0,63.9,6.36,74.4,alluvial,rabi,rainfed,Madhya Pradesh
jasmine,flower,32.0,51.0,44.0,26.4,56.9,7.18,117.3,sandy,kharif,irrigated,Maharashtra
greengram,pulse,14.0,40.0,39.0,27.3,85.5,6.0,104.5,loamy,zaid,rainfed,Madhya Pradesh
papaya,horticulture,85.0,47.0,69.0,37.5,70.0,6.22,108.2,alluvial,kharif,irrigated,Tamil Nadu
greengram,pulse,23.0,35.0,33.0,24.3,68.4,6.55,65.0,alluvial,kharif,rainfed,Karnataka
tapioca,horticulture,86.0,35.0,102.0,23.9,55.7,6.06,151.7,loamy,kharif,rainfed,Tamil Nadu
mustard,oilseed,78.0,46.0,33.0,19.4,62.9,6.9,64.1,alluvial,rabi,irrigated,Uttar Pradesh
apple,horticulture,22.0,42.0,27.0,20.5,85.2,6.56,128.8,alluvial,rabi,rainfed,Himachal Pradesh
muskmelon,horticulture,43.0,53.0,53.0,40.2,61.5,6.88,68.4,loamy,zaid,irrigated,Rajasthan
onion,vegetable,56.0,43.0,45.0,17.3,59.1,6.57,75.1,alluvial,kharif,irrigated,Gujarat
brinjal,vegetable,72.0,54.0,39.0,32.4,74.4,6.42,122.2,sandy,rabi,rainfed,West Bengal
jasmine,flower,39.0,53.0,53.0,21.0,75.2,6.05,126.6,sandy,kharif,rainfed,Andhra Pradesh
pomegranate,horticulture,25.0,17.0,35.0,34.9,47.4,7.86,60.3,loamy,kharif,irrigated,Maharashtra
castor,oilseed,39.0,43.0,32.0,38.2,74.5,6.41,97.1,sandy,kharif,rainfed,Andhra Pradesh
bajra,millet,63.0,16.0,36.0,37.2,53.1,7.54,67.9,sandy,kharif,rainfed,Uttar Pradesh
guava,horticulture,28.0,32.0,56.0,37.8,68.4,6.75,160.4,laterite,kharif,irrigated,Andhra Pradesh
apple,horticulture,41.0,21.0,43.0,15.4,67.4,6.09,109.4,alluvial,rabi,rainfed,Uttarakhand
grapes,horticulture,38.0,28.0,29.0,23.9,52.9,7.42,102.2,red,rabi,irrigated,Karnataka
horsegram,pulse,16.0,41.0,27.0,29.5,60.7,7.3,61.2,laterite,rabi,irrigated,Tamil Nadu
barley,cereal,74.0,43.0,34.0,16.1,67.0,7.18,42.0,loamy,rabi,irrigated,Rajasthan
wheat,cereal,135.0,73.0,57.0,20.9,70.8,6.94,102.0,alluvial,rabi,rainfed,Haryana
turmeric,spice,54.0,51.0,82.0,21.9,78.0,5.23,131.6,alluvial,kharif,rainfed,Telangana
mustard,oilseed,64.0,63.0,42.0,17.3,68.8,7.67,68.0,alluvial,rabi,irrigated,Madhya Pradesh
muskmelon,horticulture,64.0,35.0,55.0,39.4,71.5,7.04,69.1,sandy,zaid,rainfed,Punjab
marigold,flower,74.0,74.0,46.0,29.4,65.4,6.06,58.7,loamy,kharif,rainfed,Maharashtra
chilli,spice,75.0,38.0,64.0,31.6,86.2,7.28,73.6,alluvial,rabi,irrigated,Maharashtra
guava,horticulture,43.0,19.0,30.0,34.2,65.3,6.19,80.9,laterite,kharif,rainfed,Allahabad
tobacco,cash,46.0,53.0,51.0,33.3,73.8,6.57,68.8,alluvial,rabi,rainfed,Andhra Pradesh
kidneybeans,pulse,42.0,62.0,29.0,22.2,84.0,7.33,127.7,loamy,kharif,rainfed,Karnataka
mustard,oilseed,98.0,58.0,43.0,20.8,50.4,6.95,61.0,alluvial,rabi,rainfed,Rajasthan
guava,horticulture,53.0,39.0,32.0,24.3,55.3,5.08,107.4,alluvial,kharif,rainfed,Maharashtra
muskmelon,horticulture,38.0,46.0,39.0,26.6,74.1,6.35,68.7,sandy,zaid,rainfed,Rajasthan
maize,cereal,57.0,47.0,58.0,34.4,58.4,6.75,111.1,red,rabi,rainfed,Bihar
pomegranate,horticulture,36.0,32.0,14.0,30.7,56.9,7.76,74.2,loamy,kharif,irrigated,Maharashtra
onion,vegetable,57.0,47.0,70.0,19.1,76.8,6.22,68.1,alluvial,kharif,rainfed,Gujarat
mothbeans,pulse,22.0,31.0,28.0,33.2,39.4,7.09,37.4,sandy,kharif,irrigated,Rajasthan
sunflower,oilseed,58.0,46.0,59.0,21.7,77.2,7.5,106.2,loamy,kharif,rainfed,Andhra Pradesh
cardamom,spice,30.0,17.0,62.0,25.1,84.6,6.62,403.4,laterite,kharif,rainfed,Karnataka
maize,cereal,85.0,33.0,58.0,17.9,70.9,6.65,76.0,alluvial,rabi,rainfed,Karnataka
potato,vegetable,129.0,86.0,124.0,23.5,77.5,5.73,96.1,loamy,rabi,irrigated,West Bengal
cocoa,plantation,42.0,37.0,38.0,26.5,70.7,6.52,225.8,alluvial,kharif,irrigated,Andhra Pradesh
brinjal,vegetable,52.0,50.0,40.0,22.8,76.0,7.31,88.8,loamy,kharif,irrigated,Andhra Pradesh
onion,vegetable,48.0,32.0,49.0,22.3,80.1,6.03,98.6,loamy,kharif,rainfed,Madhya Pradesh
chilli,spice,52.0,74.0,81.0,25.0,75.2,6.66,87.8,alluvial,kharif,irrigated,Maharashtra
cashew,plantation,24.0,16.0,31.0,39.5,58.4,5.54,205.0,loamy,kharif,irrigated,Tamil Nadu
chilli,spice,69.0,48.0,49.0,23.6,74.9,5.69,73.6,loamy,kharif,irrigated,Tamil Nadu
sunflower,oilseed,66.0,57.0,66.0,19.9,54.7,7.71,100.1,black,rabi,rainfed,Andhra Pradesh
turmeric,spice,72.0,59.0,104.0,27.5,84.6,5.12,181.7,red,kharif,irrigated,Tamil Nadu
apple,horticulture,26.0,36.0,41.0,16.7,71.1,6.18,154.9,alluvial,rabi,rainfed,Uttarakhand
cotton,cash,77.0,61.0,62.0,22.5,58.3,7.12,129.2,black,kharif,rainfed,Gujarat
okra,vegetable,61.0,39.0,35.0,37.6,82.0,6.87,61.5,sandy,kharif,rainfed,Odisha
muskmelon,horticulture,35.0,29.0,44.0,38.2,74.9,6.61,80.9,sandy,zaid,rainfed,Uttar Pradesh
rubber,plantation,38.0,22.0,39.0,37.0,89.1,6.25,208.9,laterite,kharif,rainfed,Assam
rose,flower,61.0,45.0,52.0,20.3,56.8,6.22,159.2,alluvial,rabi,rainfed,Tamil Nadu
arecanut,plantation,19.0,26.0,73.0,30.0,65.3,7.07,257.8,loamy,kharif,rainfed,Tamil Nadu
cabbage,vegetable,111.0,41.0,84.0,14.0,64.3,6.83,142.4,loamy,rabi,irrigated,West Bengal
groundnut,cash,13.0,52.0,75.0,33.0,70.7,6.02,80.1,sandy,kharif,rainfed,Andhra Pradesh
blackgram,pulse,35.0,53.0,43.0,30.6,64.5,6.68,61.7,red,rabi,irrigated,Uttar Pradesh
rice,cereal,85.0,29.0,64.0,30.3,89.6,6.18,302.8,alluvial,kharif,rainfed,Andhra Pradesh
blackgram,pulse,29.0,37.0,34.0,27.8,78.8,7.05,99.7,loamy,kharif,rainfed,Maharashtra
pomegranate,horticulture,38.0,38.0,14.0,30.0,49.9,7.1,58.2,sandy,kharif,irrigated,Andhra Pradesh
marigold,flower,41.0,37.0,46.0,28.3,75.3,7.39,93.6,loamy,kharif,irrigated,Maharashtra
jowar,millet,53.0,18.0,48.0,33.8,54.8,6.92,84.1,loamy,rabi,rainfed,Andhra Pradesh
sugarcane,cash,111.0,82.0,121.0,34.2,86.3,7.16,141.0,alluvial,kharif,irrigated,Andhra Pradesh
tea,plantation,42.0,23.0,11.0,21.7,87.8,5.2,366.8,red,kharif,irrigated,Kerala
cardamom,spice,27.0,23.0,61.0,13.8,74.3,6.28,193.9,red,kharif,rainfed,Sikkim
marigold,flower,71.0,60.0,70.0,16.1,77.9,6.24,109.6,loamy,kharif,irrigated,Andhra Pradesh
groundnut,cash,10.0,46.0,70.0,36.3,55.6,6.15,100.1,red,kharif,rainfed,Rajasthan
jowar,millet,37.0,40.0,28.0,23.7,41.1,7.84,49.5,loamy,kharif,rainfed,Karnataka
coffee,plantation,65.0,24.0,62.0,16.8,72.1,7.48,193.7,loamy,kharif,rainfed,Andhra Pradesh
sesame,oilseed,35.0,24.0,42.0,35.5,74.4,6.84,60.4,sandy,kharif,rainfed,Andhra Pradesh
sesame,oilseed,31.0,29.0,27.0,35.4,55.6,7.8,67.3,sandy,kharif,rainfed,West Bengal
pepper,spice,41.0,39.0,96.0,24.5,78.8,6.57,368.0,loamy,kharif,irrigated,Tamil Nadu
horsegram,pulse,13.0,20.0,18.0,19.0,41.7,7.27,82.8,red,rabi,rainfed,Andhra Pradesh
castor,oilseed,31.0,27.0,30.0,23.1,46.4,7.03,103.8,loamy,kharif,rainfed,Karnataka
guava,horticulture,31.0,21.0,43.0,40.9,65.0,5.77,110.8,sandy,kharif,rainfed,Maharashtra
soybean,oilseed,34.0,83.0,70.0,26.7,57.6,6.53,69.5,alluvial,kharif,rainfed,Madhya Pradesh
bajra,millet,34.0,17.0,41.0,36.0,31.0,7.53,38.6,red,kharif,irrigated,Rajasthan
tomato,vegetable,61.0,50.0,70.0,29.7,70.6,7.04,58.3,alluvial,rabi,irrigated,Maharashtra
tobacco,cash,58.0,46.0,53.0,18.5,65.3,7.31,99.0,sandy,rabi,rainfed,Andhra Pradesh
pineapple,horticulture,57.0,34.0,56.0,36.5,88.9,5.4,148.0,loamy,kharif,irrigated,Karnataka
rose,flower,37.0,54.0,58.0,26.5,77.6,6.06,94.1,alluvial,rabi,rainfed,West Bengal
barley,cereal,102.0,43.0,35.0,10.1,44.8,7.2,76.3,sandy,rabi,rainfed,Madhya Pradesh
muskmelon,horticulture,40.0,40.0,66.0,36.2,52.6,6.79,85.8,loamy,zaid,rainfed,Uttar Pradesh
chilli,spice,58.0,41.0,71.0,31.4,56.1,5.84,56.1,loamy,rabi,irrigated,Karnataka
brinjal,vegetable,49.0,36.0,51.0,23.4,66.5,6.1,115.2,sandy,rabi,rainfed,West Bengal
arecanut,plantation,34.0,17.0,82.0,35.1,65.8,7.43,171.5,loamy,kharif,rainfed,Assam
cocoa,plantation,29.0,35.0,50.0,37.4,96.1,7.21,174.0,alluvial,kharif,rainfed,Kerala
coriander,spice,45.0,49.0,42.0,26.7,50.0,7.31,43.8,sandy,rabi,rainfed,Rajasthan
sunflower,oilseed,67.0,68.0,68.0,25.4,77.2,7.61,66.5,alluvial,kharif,irrigated,Orissa
cashew,plantation,12.0,13.0,16.0,38.5,62.6,6.91,185.7,laterite,kharif,rainfed,Goa
papaya,horticulture,72.0,40.0,71.0,26.8,62.6,6.22,117.7,loamy,kharif,irrigated,Tamil Nadu
grapes,horticulture,43.0,40.0,30.0,29.7,75.2,7.78,51.9,black,rabi,irrigated,Mizoram
turmeric,spice,47.0,65.0,63.0,25.3,88.0,6.71,171.0,loamy,kharif,rainfed,Andhra Pradesh
coriander,spice,34.0,35.0,37.0,17.2,54.6,6.36,72.6,sandy,rabi,rainfed,Rajasthan
cocoa,plantation,38.0,37.0,60.0,37.1,84.9,7.33,239.5,loamy,kharif,irrigated,Tamil Nadu
turmeric,spice,85.0,60.0,72.0,29.4,78.8,6.9,205.5,alluvial,kharif,rainfed,Telangana
cowpea,pulse,18.0,52.0,22.0,23.4,57.9,5.87,65.6,sandy,zaid,rainfed,Maharashtra
orange,horticulture,33.0,23.0,21.0,18.5,73.4,5.93,127.9,loamy,rabi,rainfed,Meghalaya
cashew,plantation,19.0,15.0,12.0,40.4,68.5,5.66,170.3,laterite,kharif,irrigated,Goa
apple,horticulture,42.0,40.0,32.0,18.2,89.5,5.75,180.8,alluvial,rabi,rainfed,Arunachal Pradesh
cardamom,spice,34.0,19.0,54.0,25.7,88.7,5.7,253.3,red,kharif,rainfed,Arunachal Pradesh
bajra,millet,42.0,15.0,24.0,27.8,52.6,8.46,67.8,loamy,kharif,irrigated,Maharashtra
turmeric,spice,76.0,50.0,63.0,34.5,64.7,6.25,151.5,loamy,kharif,rainfed,Tamil Nadu
arecanut,plantation,34.0,21.0,93.0,28.8,84.2,6.86,222.0,loamy,kharif,rainfed,Tamil Nadu
sapota,horticulture,21.0,26.0,45.0,20.9,79.6,7.68,105.4,loamy,kharif,rainfed,Gujarat
cocoa,plantation,35.0,38.0,42.0,28.3,74.6,7.35,158.5,loamy,kharif,irrigated,Kerala
cotton,cash,85.0,54.0,68.0,24.6,57.1,6.03,129.3,alluvial,kharif,irrigated,Rajasthan
greengram,pulse,16.0,40.0,23.0,25.3,70.6,7.19,105.0,loamy,kharif,rainfed,Maharashtra
banana,horticulture,90.0,63.0,100.0,37.1,65.2,7.02,139.9,red,kharif,rainfed,Gujarat
blackgram,pulse,22.0,50.0,35.0,34.8,61.5,6.22,67.3,loamy,rabi,rainfed,Uttar Pradesh
grapes,horticulture,25.0,32.0,37.0,24.3,61.3,7.73,46.7,black,rabi,rainfed,Mizoram
guava,horticulture,29.0,24.0,36.0,36.3,73.4,6.81,111.0,alluvial,kharif,rainfed,Maharashtra
watermelon,horticulture,48.0,45.0,50.0,35.1,79.1,6.56,52.9,red,zaid,irrigated,Rajasthan
rose,flower,50.0,47.0,66.0,29.4,83.9,6.84,137.6,loamy,rabi,rainfed,Tamil Nadu
cabbage,vegetable,124.0,61.0,67.0,17.0,83.3,6.98,108.4,alluvial,rabi,rainfed,Assam
tomato,vegetable,81.0,53.0,60.0,27.3,78.2,6.59,122.7,alluvial,kharif,rainfed,Odisha
apple,horticulture,27.0,28.0,29.0,20.9,63.8,5.61,159.8,alluvial,rabi,irrigated,Arunachal Pradesh
okra,vegetable,51.0,58.0,43.0,29.6,72.5,6.95,103.4,sandy,zaid,rainfed,West Bengal
guava,horticulture,29.0,35.0,46.0,38.6,63.0,5.94,115.2,laterite,kharif,irrigated,Karnataka
groundnut,cash,19.0,75.0,73.0,25.6,79.3,6.58,127.3,red,kharif,irrigated,Tamil Nadu
muskmelon,horticulture,55.0,23.0,61.0,33.7,80.5,6.67,77.0,sandy,zaid,rainfed,Punjab
wheat,cereal,96.0,54.0,63.0,22.9,68.6,6.43,53.4,alluvial,rabi,rainfed,Madhya Pradesh
sunflower,oilseed,70.0,69.0,52.0,22.4,74.3,7.68,85.9,black,kharif,rainfed,Orissa
groundnut,cash,20.0,59.0,59.0,31.3,78.4,6.36,66.3,red,kharif,rainfed,Andhra Pradesh
papaya,horticulture,80.0,43.0,59.0,36.1,73.0,6.82,142.2,loamy,kharif,irrigated,Tamil Nadu
cowpea,pulse,16.0,51.0,32.0,28.5,65.0,6.94,84.2,loamy,kharif,rainfed,Andhra Pradesh
watermelon,horticulture,50.0,29.0,46.0,29.4,61.8,7.04,85.7,sandy,kharif,rainfed,Tamil Nadu
cashew,plantation,20.0,10.0,27.0,32.7,66.1,5.33,126.1,sandy,kharif,rainfed,Maharashtra
mothbeans,pulse,16.0,39.0,27.0,38.8,47.8,8.23,53.0,loamy,kharif,irrigated,Haryana
turmeric,spice,78.0,43.0,83.0,23.4,81.1,6.13,202.1,loamy,kharif,rainfed,Andhra Pradesh
rice,cereal,114.0,52.0,51.0,36.2,89.8,6.2,291.6,loamy,kharif,irrigated,Odisha
brinjal,vegetable,53.0,59.0,60.0,37.2,75.9,7.13,82.4,sandy,kharif,irrigated,Andhra Pradesh
tea,plantation,27.0,30.0,25.0,23.2,91.5,5.07,178.3,loamy,kharif,irrigated,Assam
rose,flower,37.0,53.0,58.0,16.8,81.3,5.85,107.6,loamy,rabi,rainfed,Karnataka
sesame,oilseed,42.0,43.0,24.0,25.7,52.3,7.39,71.6,sandy,kharif,rainfed,Tamil Nadu
mango,horticulture,40.0,39.0,52.0,40.7,68.6,7.0,211.8,loamy,kharif,irrigated,Karnataka
potato,vegetable,101.0,75.0,95.0,14.5,79.4,5.97,120.2,sandy,rabi,rainfed,Punjab
papaya,horticulture,84.0,34.0,67.0,24.4,65.3,7.46,155.0,alluvial,kharif,irrigated,Maharashtra
sapota,horticulture,43.0,26.0,51.0,19.2,72.8,7.84,196.5,laterite,kharif,irrigated,Tamil Nadu
cauliflower,vegetable,95.0,74.0,82.0,11.7,83.3,6.14,100.0,loamy,rabi,rainfed,Maharashtra
coffee,plantation,72.0,43.0,36.0,25.2,66.1,6.61,154.3,red,kharif,irrigated,Kerala
cabbage,vegetable,92.0,70.0,57.0,13.3,69.6,6.75,94.6,loamy,rabi,rainfed,West Bengal
greengram,pulse,28.0,30.0,19.0,33.6,73.7,7.26,103.0,red,kharif,rainfed,Karnataka
tea,plantation,32.0,25.0,26.0,23.3,78.5,5.14,197.2,laterite,kharif,irrigated,Tamil Nadu
